,Vector1,,,Vector2,,,Vector3,,,Vector4,,,Vector5,,,Vector6,,,Vector7,,
95,-3.01E-08,1.47E-06,7.75E-09,-2.46E-08,1.49E-06,-4.47E-10,-1.23E-09,1.45E-06,1.99E-09,1.58E-06,2.46E-08,-5.96E-10,-4.36E-08,-1.65E-06,7.46E-09,-3.09E-08,-1.67E-06,5.91E-09,6.62E-09,-1.64E-06,5.47E-09
100,-3.64E-08,1.62E-06,7.56E-09,-2.99E-08,1.65E-06,-2.05E-10,1.66E-09,1.60E-06,1.96E-09,1.74E-06,3.01E-08,-7.00E-10,-4.93E-08,-1.82E-06,6.85E-09,-3.64E-08,-1.85E-06,5.08E-09,1.02E-08,-1.81E-06,5.43E-09
105,-0.608170336,-0.0046523,2.89E-05,0.266137457,-0.004705789,4.84E-05,-0.59485669,-0.004660069,-2.19E-04,-0.004741876,-0.266120846,-4.98E-05,-0.608784809,0.004941754,-4.58E-05,0.266145185,0.004996429,-7.52E-05,-0.59265319,0.004948749,2.46E-04
110,-1.02255715,0.007010076,6.69E-04,0.425640796,0.006974675,-4.05E-04,-0.538668557,0.006682432,0.00166185,0.006933174,-0.42565135,-0.001230639,-1.023285335,-0.008253444,-4.22E-05,0.425635837,-0.008060616,0.00121387,-0.5401705,-0.007952158,-0.00140869
115,-0.362488854,0.003083332,6.02E-04,0.144283546,0.003063626,-4.71E-04,-0.039764389,0.003049729,4.92E-04,0.003053801,-0.144286706,-5.15E-04,-0.362867397,-0.003593161,-7.02E-04,0.144283622,-0.003572262,5.55E-04,-0.039929282,-0.003567448,-5.88E-04
120,0.003238086,5.77E-04,8.85E-05,-0.002105647,5.65E-04,-7.91E-05,-0.017579543,5.82E-04,5.17E-05,5.64E-04,0.002105411,-2.96E-05,0.003221501,-6.29E-04,-1.01E-04,-0.002105598,-6.17E-04,8.36E-05,-0.017637077,-6.36E-04,-5.21E-05
125,8.67E-04,3.05E-04,3.59E-05,-6.59E-04,3.00E-04,-5.67E-05,-0.005666432,3.13E-04,1.95E-05,3.02E-04,6.59E-04,-2.15E-05,8.59E-04,-3.35E-04,-4.39E-05,-6.59E-04,-3.30E-04,5.97E-05,-0.005685238,-3.43E-04,-2.07E-05
130,1.01E-04,1.87E-04,1.01E-05,-1.76E-04,1.83E-04,-4.50E-05,-0.001850277,1.97E-04,1.94E-05,1.85E-04,1.76E-04,-1.59E-05,9.91E-05,-2.07E-04,-1.90E-05,-1.76E-04,-2.04E-04,4.70E-05,-0.001847357,-2.16E-04,-4.49E-06
135,-1.31E-04,1.10E-04,-2.75E-06,-8.98E-06,1.04E-04,-3.61E-05,-6.16E-04,1.18E-04,-1.01E-05,1.06E-04,8.97E-06,-1.34E-05,-1.30E-04,-1.20E-04,-2.19E-06,-9.06E-06,-1.15E-04,3.63E-05,-6.16E-04,-1.27E-04,1.52E-05
140,-1.98E-04,6.44E-05,-1.07E-05,5.04E-05,5.74E-05,-3.01E-05,-2.24E-04,7.15E-05,-2.39E-05,5.89E-05,-5.05E-05,-1.14E-05,-1.94E-04,-6.84E-05,7.74E-06,5.04E-05,-6.21E-05,2.91E-05,-2.25E-04,-7.50E-05,2.65E-05
145,-2.14E-04,3.61E-05,-1.58E-05,7.30E-05,2.82E-05,-2.59E-05,-1.02E-04,4.23E-05,-3.08E-05,2.93E-05,-7.30E-05,-9.97E-06,-2.08E-04,-3.63E-05,1.40E-05,7.30E-05,-2.91E-05,2.43E-05,-1.04E-04,-4.21E-05,3.31E-05
150,-2.15E-04,1.73E-05,-1.93E-05,8.25E-05,8.80E-06,-2.29E-05,-6.63E-05,2.29E-05,-3.45E-05,9.63E-06,-8.25E-05,-8.93E-06,-2.08E-04,-1.49E-05,1.81E-05,8.25E-05,-7.19E-06,2.08E-05,-6.98E-05,-2.02E-05,3.70E-05
155,-2.12E-04,4.27E-06,-2.17E-05,8.71E-05,-4.52E-06,-2.07E-05,-5.75E-05,9.31E-06,-3.64E-05,-3.92E-06,-8.71E-05,-8.17E-06,-2.04E-04,-2.24E-07,2.10E-05,8.71E-05,7.87E-06,1.83E-05,-6.17E-05,-5.06E-06,3.92E-05
160,-2.09E-04,-5.31E-06,-2.35E-05,8.97E-05,-1.43E-05,-1.89E-05,-5.73E-05,-7.84E-07,-3.74E-05,-1.39E-05,-8.97E-05,-7.59E-06,-2.00E-04,1.06E-05,2.31E-05,8.97E-05,1.89E-05,1.64E-05,-6.19E-05,6.19E-06,4.05E-05
165,-2.06E-04,-1.26E-05,-2.49E-05,9.13E-05,-2.17E-05,-1.75E-05,-5.91E-05,-8.51E-06,-3.78E-05,-2.13E-05,-9.13E-05,-7.12E-06,-1.97E-04,1.87E-05,2.47E-05,9.13E-05,2.72E-05,1.49E-05,-6.40E-05,1.47E-05,4.11E-05
170,-2.03E-04,-1.83E-05,-2.59E-05,9.25E-05,-2.75E-05,-1.64E-05,-6.14E-05,-1.47E-05,-3.79E-05,-2.72E-05,-9.25E-05,-6.73E-06,-1.94E-04,2.51E-05,2.60E-05,9.25E-05,3.36E-05,1.36E-05,-6.64E-05,2.15E-05,4.13E-05
175,-2.01E-04,-2.30E-05,-2.68E-05,9.34E-05,-3.22E-05,-1.53E-05,-6.35E-05,-1.98E-05,-3.78E-05,-3.19E-05,-9.34E-05,-6.39E-06,-1.92E-04,3.03E-05,2.71E-05,9.34E-05,3.89E-05,1.26E-05,-6.86E-05,2.70E-05,4.13E-05
180,-1.99E-04,-2.70E-05,-2.76E-05,9.41E-05,-3.61E-05,-1.45E-05,-6.54E-05,-2.41E-05,-3.75E-05,-3.60E-05,-9.41E-05,-6.09E-06,-1.90E-04,3.46E-05,2.80E-05,9.41E-05,4.33E-05,1.17E-05,-7.06E-05,3.17E-05,4.11E-05
185,-1.97E-04,-3.05E-05,-2.82E-05,9.47E-05,-3.96E-05,-1.37E-05,-6.72E-05,-2.79E-05,-3.72E-05,-3.94E-05,-9.47E-05,-5.81E-06,-1.88E-04,3.84E-05,2.87E-05,9.47E-05,4.70E-05,1.09E-05,-7.23E-05,3.58E-05,4.08E-05
190,-1.95E-04,-3.35E-05,-2.88E-05,9.53E-05,-4.26E-05,-1.29E-05,-6.87E-05,-3.13E-05,-3.69E-05,-4.25E-05,-9.53E-05,-5.56E-06,-1.86E-04,4.17E-05,2.94E-05,9.53E-05,5.04E-05,1.02E-05,-7.39E-05,3.94E-05,4.04E-05
195,-1.94E-04,-3.63E-05,-2.93E-05,9.57E-05,-4.54E-05,-1.22E-05,-7.02E-05,-3.44E-05,-3.66E-05,-4.53E-05,-9.57E-05,-5.32E-06,-1.85E-04,4.47E-05,3.01E-05,9.57E-05,5.33E-05,9.60E-06,-7.53E-05,4.27E-05,4.01E-05
200,-1.92E-04,-3.89E-05,-2.98E-05,9.61E-05,-4.79E-05,-1.16E-05,-7.15E-05,-3.73E-05,-3.62E-05,-4.78E-05,-9.62E-05,-5.09E-06,-1.84E-04,4.74E-05,3.07E-05,9.61E-05,5.60E-05,9.01E-06,-7.66E-05,4.57E-05,3.97E-05
205,-1.91E-04,-4.12E-05,-3.02E-05,9.65E-05,-5.02E-05,-1.10E-05,-7.28E-05,-3.99E-05,-3.59E-05,-5.01E-05,-9.65E-05,-4.87E-06,-1.82E-04,4.99E-05,3.12E-05,9.65E-05,5.85E-05,8.47E-06,-7.78E-05,4.85E-05,3.93E-05
210,-1.90E-04,-4.34E-05,-3.06E-05,9.69E-05,-5.24E-05,-1.05E-05,-7.39E-05,-4.23E-05,-3.55E-05,-5.23E-05,-9.69E-05,-4.67E-06,-1.81E-04,5.22E-05,3.17E-05,9.69E-05,6.09E-05,7.97E-06,-7.89E-05,5.10E-05,3.90E-05
215,-1.88E-04,-4.55E-05,-3.10E-05,9.72E-05,-5.44E-05,-9.93E-06,-7.50E-05,-4.46E-05,-3.52E-05,-5.43E-05,-9.72E-05,-4.47E-06,-1.80E-04,5.44E-05,3.22E-05,9.72E-05,6.30E-05,7.50E-06,-7.99E-05,5.34E-05,3.86E-05
220,-1.87E-04,-4.74E-05,-3.14E-05,9.75E-05,-5.63E-05,-9.43E-06,-7.61E-05,-4.68E-05,-3.49E-05,-5.62E-05,-9.75E-05,-4.29E-06,-1.79E-04,5.64E-05,3.26E-05,9.75E-05,6.50E-05,7.05E-06,-8.09E-05,5.57E-05,3.83E-05
225,-1.86E-04,-4.92E-05,-3.17E-05,9.78E-05,-5.81E-05,-8.97E-06,-7.70E-05,-4.88E-05,-3.46E-05,-5.80E-05,-9.78E-05,-4.11E-06,-1.79E-04,5.83E-05,3.31E-05,9.78E-05,6.69E-05,6.64E-06,-8.18E-05,5.78E-05,3.79E-05
230,-1.85E-04,-5.09E-05,-3.20E-05,9.80E-05,-5.97E-05,-8.53E-06,-7.79E-05,-5.07E-05,-3.44E-05,-5.96E-05,-9.81E-05,-3.95E-06,-1.78E-04,6.00E-05,3.35E-05,9.81E-05,6.87E-05,6.25E-06,-8.27E-05,5.98E-05,3.76E-05
235,-1.84E-04,-5.25E-05,-3.23E-05,9.83E-05,-6.13E-05,-8.12E-06,-7.88E-05,-5.25E-05,-3.41E-05,-6.12E-05,-9.83E-05,-3.79E-06,-1.77E-04,6.17E-05,3.38E-05,9.83E-05,7.04E-05,5.89E-06,-8.35E-05,6.16E-05,3.73E-05
240,-1.83E-04,-5.40E-05,-3.25E-05,9.85E-05,-6.28E-05,-7.72E-06,-7.96E-05,-5.41E-05,-3.39E-05,-6.27E-05,-9.85E-05,-3.64E-06,-1.76E-04,6.33E-05,3.42E-05,9.85E-05,7.19E-05,5.54E-06,-8.42E-05,6.34E-05,3.70E-05
245,-1.83E-04,-5.55E-05,-3.28E-05,9.87E-05,-6.42E-05,-7.36E-06,-8.04E-05,-5.57E-05,-3.37E-05,-6.41E-05,-9.88E-05,-3.50E-06,-1.76E-04,6.48E-05,3.45E-05,9.88E-05,7.34E-05,5.22E-06,-8.49E-05,6.50E-05,3.68E-05
250,-1.82E-04,-5.68E-05,-3.30E-05,9.89E-05,-6.55E-05,-7.01E-06,-8.11E-05,-5.72E-05,-3.34E-05,-6.54E-05,-9.90E-05,-3.37E-06,-1.75E-04,6.62E-05,3.48E-05,9.90E-05,7.48E-05,4.91E-06,-8.56E-05,6.66E-05,3.65E-05
255,-1.81E-04,-5.81E-05,-3.33E-05,9.91E-05,-6.67E-05,-6.68E-06,-8.18E-05,-5.86E-05,-3.32E-05,-6.66E-05,-9.92E-05,-3.24E-06,-1.74E-04,6.75E-05,3.51E-05,9.92E-05,7.61E-05,4.62E-06,-8.62E-05,6.81E-05,3.63E-05
260,-1.80E-04,-5.92E-05,-3.35E-05,9.93E-05,-6.79E-05,-6.37E-06,-8.24E-05,-5.99E-05,-3.30E-05,-6.78E-05,-9.93E-05,-3.12E-06,-1.74E-04,6.87E-05,3.54E-05,9.93E-05,7.73E-05,4.35E-06,-8.68E-05,6.94E-05,3.60E-05
265,-1.80E-04,-6.04E-05,-3.37E-05,9.95E-05,-6.90E-05,-6.07E-06,-8.30E-05,-6.12E-05,-3.29E-05,-6.89E-05,-9.95E-05,-3.01E-06,-1.73E-04,6.99E-05,3.57E-05,9.95E-05,7.85E-05,4.09E-06,-8.74E-05,7.08E-05,3.58E-05
270,-1.79E-04,-6.14E-05,-3.39E-05,9.96E-05,-7.00E-05,-5.80E-06,-8.36E-05,-6.24E-05,-3.27E-05,-6.99E-05,-9.97E-05,-2.90E-06,-1.73E-04,7.10E-05,3.59E-05,9.97E-05,7.96E-05,3.84E-06,-8.79E-05,7.20E-05,3.56E-05
275,-1.78E-04,-6.24E-05,-3.40E-05,9.98E-05,-7.10E-05,-5.54E-06,-8.41E-05,-6.35E-05,-3.25E-05,-7.09E-05,-9.98E-05,-2.80E-06,-1.72E-04,7.20E-05,3.62E-05,9.98E-05,8.07E-05,3.61E-06,-8.84E-05,7.32E-05,3.54E-05
280,-1.78E-04,-6.33E-05,-3.42E-05,9.99E-05,-7.19E-05,-5.29E-06,-8.46E-05,-6.45E-05,-3.24E-05,-7.18E-05,-9.99E-05,-2.71E-06,-1.72E-04,7.30E-05,3.64E-05,1.00E-04,8.16E-05,3.40E-06,-8.89E-05,7.43E-05,3.52E-05
285,-1.77E-04,-6.42E-05,-3.44E-05,1.00E-04,-7.27E-05,-5.06E-06,-8.51E-05,-6.55E-05,-3.22E-05,-7.27E-05,-1.00E-04,-2.62E-06,-1.71E-04,7.40E-05,3.66E-05,1.00E-04,8.26E-05,3.19E-06,-8.94E-05,7.53E-05,3.51E-05
290,-1.77E-04,-6.51E-05,-3.45E-05,1.00E-04,-7.36E-05,-4.84E-06,-8.55E-05,-6.64E-05,-3.21E-05,-7.35E-05,-1.00E-04,-2.54E-06,-1.71E-04,7.48E-05,3.68E-05,1.00E-04,8.34E-05,3.00E-06,-8.98E-05,7.63E-05,3.49E-05
295,-1.76E-04,-6.58E-05,-3.46E-05,1.00E-04,-7.43E-05,-4.63E-06,-8.59E-05,-6.73E-05,-3.20E-05,-7.43E-05,-1.00E-04,-2.46E-06,-1.70E-04,7.57E-05,3.70E-05,1.00E-04,8.43E-05,2.82E-06,-9.02E-05,7.72E-05,3.47E-05
300,-1.76E-04,-6.66E-05,-3.48E-05,1.00E-04,-7.50E-05,-4.44E-06,-8.63E-05,-6.81E-05,-3.18E-05,-7.50E-05,-1.00E-04,-2.38E-06,-1.70E-04,7.64E-05,3.71E-05,1.00E-04,8.50E-05,2.64E-06,-9.05E-05,7.81E-05,3.46E-05
305,-1.76E-04,-6.73E-05,-3.49E-05,1.00E-04,-7.57E-05,-4.25E-06,-8.67E-05,-6.89E-05,-3.17E-05,-7.57E-05,-1.01E-04,-2.31E-06,-1.70E-04,7.72E-05,3.73E-05,1.01E-04,8.58E-05,2.48E-06,-9.09E-05,7.89E-05,3.44E-05
310,-1.75E-04,-6.79E-05,-3.50E-05,1.01E-04,-7.64E-05,-4.08E-06,-8.70E-05,-6.96E-05,-3.16E-05,-7.63E-05,-1.01E-04,-2.25E-06,-1.69E-04,7.79E-05,3.75E-05,1.01E-04,8.65E-05,2.32E-06,-9.12E-05,7.97E-05,3.43E-05
315,-1.75E-04,-6.85E-05,-3.51E-05,1.01E-04,-7.70E-05,-3.92E-06,-8.74E-05,-7.03E-05,-3.15E-05,-7.69E-05,-1.01E-04,-2.19E-06,-1.69E-04,7.85E-05,3.76E-05,1.01E-04,8.71E-05,2.18E-06,-9.16E-05,8.04E-05,3.42E-05
320,-1.75E-04,-6.91E-05,-3.52E-05,1.01E-04,-7.75E-05,-3.76E-06,-8.77E-05,-7.09E-05,-3.14E-05,-7.75E-05,-1.01E-04,-2.13E-06,-1.69E-04,7.91E-05,3.78E-05,1.01E-04,8.77E-05,2.04E-06,-9.19E-05,8.11E-05,3.41E-05
325,-1.74E-04,-6.96E-05,-3.53E-05,1.01E-04,-7.80E-05,-3.62E-06,-8.80E-05,-7.15E-05,-3.13E-05,-7.80E-05,-1.01E-04,-2.07E-06,-1.68E-04,7.97E-05,3.79E-05,1.01E-04,8.83E-05,1.91E-06,-9.21E-05,8.17E-05,3.39E-05
330,-1.74E-04,-7.01E-05,-3.54E-05,1.01E-04,-7.85E-05,-3.48E-06,-8.82E-05,-7.21E-05,-3.12E-05,-7.85E-05,-1.01E-04,-2.02E-06,-1.68E-04,8.03E-05,3.80E-05,1.01E-04,8.89E-05,1.79E-06,-9.24E-05,8.24E-05,3.38E-05
335,-1.74E-04,-7.06E-05,-3.55E-05,1.01E-04,-7.90E-05,-3.35E-06,-8.85E-05,-7.26E-05,-3.11E-05,-7.90E-05,-1.01E-04,-1.97E-06,-1.68E-04,8.08E-05,3.81E-05,1.01E-04,8.94E-05,1.67E-06,-9.27E-05,8.29E-05,3.37E-05
340,-1.73E-04,-7.11E-05,-3.56E-05,1.01E-04,-7.94E-05,-3.23E-06,-8.87E-05,-7.31E-05,-3.11E-05,-7.94E-05,-1.01E-04,-1.93E-06,-1.67E-04,8.13E-05,3.82E-05,1.01E-04,8.99E-05,1.56E-06,-9.29E-05,8.35E-05,3.36E-05
345,-1.73E-04,-7.15E-05,-3.56E-05,1.01E-04,-7.99E-05,-3.11E-06,-8.89E-05,-7.36E-05,-3.10E-05,-7.98E-05,-1.01E-04,-1.89E-06,-1.67E-04,8.17E-05,3.83E-05,1.01E-04,9.03E-05,1.45E-06,-9.31E-05,8.40E-05,3.36E-05
350,-1.73E-04,-7.19E-05,-3.57E-05,1.01E-04,-8.02E-05,-3.01E-06,-8.91E-05,-7.41E-05,-3.09E-05,-8.02E-05,-1.01E-04,-1.85E-06,-1.67E-04,8.22E-05,3.84E-05,1.01E-04,9.08E-05,1.36E-06,-9.33E-05,8.45E-05,3.35E-05
355,-1.73E-04,-7.23E-05,-3.58E-05,1.01E-04,-8.06E-05,-2.90E-06,-8.93E-05,-7.45E-05,-3.08E-05,-8.06E-05,-1.01E-04,-1.81E-06,-1.67E-04,8.26E-05,3.85E-05,1.01E-04,9.12E-05,1.26E-06,-9.35E-05,8.49E-05,3.34E-05
360,-1.72E-04,-7.26E-05,-3.58E-05,1.01E-04,-8.10E-05,-2.81E-06,-8.95E-05,-7.49E-05,-3.08E-05,-8.09E-05,-1.01E-04,-1.77E-06,-1.66E-04,8.30E-05,3.86E-05,1.01E-04,9.16E-05,1.17E-06,-9.37E-05,8.54E-05,3.33E-05
365,-1.72E-04,-7.29E-05,-3.59E-05,1.01E-04,-8.13E-05,-2.72E-06,-8.97E-05,-7.52E-05,-3.07E-05,-8.12E-05,-1.01E-04,-1.74E-06,-1.66E-04,8.33E-05,3.87E-05,1.01E-04,9.19E-05,1.09E-06,-9.39E-05,8.58E-05,3.32E-05
370,-1.72E-04,-7.32E-05,-3.59E-05,1.01E-04,-8.16E-05,-2.63E-06,-8.99E-05,-7.56E-05,-3.07E-05,-8.15E-05,-1.01E-04,-1.71E-06,-1.66E-04,8.37E-05,3.88E-05,1.01E-04,9.23E-05,1.01E-06,-9.41E-05,8.62E-05,3.32E-05
375,-1.72E-04,-7.35E-05,-3.60E-05,1.01E-04,-8.19E-05,-2.55E-06,-9.00E-05,-7.59E-05,-3.06E-05,-8.18E-05,-1.01E-04,-1.68E-06,-1.66E-04,8.40E-05,3.89E-05,1.01E-04,9.26E-05,9.37E-07,-9.42E-05,8.65E-05,3.31E-05
380,-1.72E-04,-7.38E-05,-3.60E-05,1.01E-04,-8.21E-05,-2.48E-06,-9.01E-05,-7.62E-05,-3.05E-05,-8.21E-05,-1.01E-04,-1.66E-06,-1.66E-04,8.43E-05,3.89E-05,1.01E-04,9.29E-05,8.66E-07,-9.44E-05,8.69E-05,3.30E-05
385,-1.72E-04,-7.41E-05,-3.61E-05,1.01E-04,-8.24E-05,-2.41E-06,-9.03E-05,-7.65E-05,-3.05E-05,-8.23E-05,-1.01E-04,-1.63E-06,-1.65E-04,8.46E-05,3.90E-05,1.01E-04,9.32E-05,7.99E-07,-9.45E-05,8.72E-05,3.30E-05
390,-1.71E-04,-7.43E-05,-3.61E-05,1.01E-04,-8.26E-05,-2.34E-06,-9.04E-05,-7.68E-05,-3.04E-05,-8.26E-05,-1.01E-04,-1.61E-06,-1.65E-04,8.48E-05,3.90E-05,1.01E-04,9.34E-05,7.36E-07,-9.46E-05,8.75E-05,3.29E-05
395,-1.71E-04,-7.45E-05,-3.61E-05,1.01E-04,-8.28E-05,-2.28E-06,-9.05E-05,-7.70E-05,-3.04E-05,-8.28E-05,-1.01E-04,-1.59E-06,-1.65E-04,8.51E-05,3.91E-05,1.01E-04,9.37E-05,6.76E-07,-9.48E-05,8.78E-05,3.29E-05
400,-1.71E-04,-7.47E-05,-3.62E-05,1.01E-04,-8.30E-05,-2.22E-06,-9.06E-05,-7.72E-05,-3.04E-05,-8.30E-05,-1.01E-04,-1.56E-06,-1.65E-04,8.53E-05,3.92E-05,1.02E-04,9.39E-05,6.19E-07,-9.49E-05,8.80E-05,3.28E-05
405,-4.22E-04,-3.74E-04,-1.23E-04,-8.15E-05,-4.04E-04,2.30E-05,0.001008188,-3.88E-04,-1.07E-04,-4.12E-04,8.26E-05,1.47E-05,-3.96E-04,2.47E-04,1.19E-04,-8.83E-05,2.82E-04,2.32E-05,2.408806178,3.37E-04,2.02E-04
410,-0.234906102,-0.008407066,-0.002809816,0.086926211,-0.008736102,0.001292108,0.087470516,-0.008639481,-0.001743323,-0.008711907,-0.086907707,0.001480938,-0.280317189,-0.013942808,-0.004240825,0.086887812,-0.014365657,0.002482461,0.083177971,-0.014600628,6.87E-04
415,-0.043818679,0.001644777,5.63E-04,0.015000334,0.001786046,-1.56E-04,0.017419227,0.00175152,4.09E-04,0.001819901,-0.015000708,4.07E-06,-0.04419728,-9.97E-04,-3.12E-04,0.015057369,-0.001043492,1.77E-04,-0.177090599,-0.001166171,-2.20E-04
420,-0.078528621,-0.008090403,-0.002891396,0.021875128,-0.008467369,0.00136377,0.033888738,-0.008411862,-0.001597108,-0.008479114,-0.021824804,0.001446842,-0.109574396,-0.009625519,-0.003486384,0.021702776,-0.010106496,0.001611824,0.132177614,-0.010210042,3.03E-04
425,-0.053465672,-0.004291152,-0.001725982,0.040946481,-0.004616905,5.81E-04,0.007248191,-0.004596659,-8.67E-04,-0.004638993,-0.040956123,4.23E-04,-0.070166605,-0.003958785,-0.001602606,0.040920362,-0.004274049,6.37E-04,-0.007949453,-0.00432725,1.63E-04
430,-0.019637641,1.01E-05,4.18E-05,-0.001359821,5.11E-05,6.59E-05,0.013621192,5.02E-05,2.19E-05,6.49E-05,0.001370772,1.50E-04,-0.020113334,-8.19E-04,-2.88E-04,-0.001363789,-8.57E-04,1.91E-04,0.012317837,-8.97E-04,2.52E-05
435,-0.005828636,-8.38E-05,-2.40E-05,0.002202214,-7.84E-05,3.16E-05,0.002168572,-8.16E-05,-3.38E-06,-7.67E-05,-0.002199283,4.78E-05,-0.006098966,-2.33E-04,-6.53E-05,0.002196822,-2.34E-04,7.09E-05,8.06E-04,-2.43E-04,2.09E-05
440,-0.002333452,-1.24E-04,-3.57E-05,8.19E-04,-1.21E-04,3.90E-05,7.91E-04,-1.24E-04,-1.06E-05,-1.20E-04,-8.16E-04,5.24E-05,-0.002661177,-2.76E-04,-7.70E-05,8.10E-04,-2.78E-04,7.51E-05,-9.46E-06,-2.91E-04,3.81E-05
